epoch,step,test_mse,train_loss,train_mse,val_loss,val_mse
0,49,,0.20096266269683838,,,
0,61,,,,0.18547895550727844,0.18547895550727844
0,61,,,0.28128987550735474,,
1,99,,0.190921813249588,,,
1,123,,,,0.1901543140411377,0.1901543140411377
1,123,,,0.2398400753736496,,
2,149,,0.22120900452136993,,,
2,185,,,,0.23916946351528168,0.23916946351528168
2,185,,,0.21402007341384888,,
3,199,,0.14294487237930298,,,
3,247,,,,0.19851334393024445,0.19851334393024445
3,247,,,0.21179918944835663,,
4,249,,0.19814728200435638,,,
4,299,,0.11366733908653259,,,
4,309,,,,0.17634634673595428,0.17634634673595428
4,309,,,0.20165541768074036,,
5,349,,0.16056157648563385,,,
5,371,,,,0.17869460582733154,0.17869460582733154
5,371,,,0.1940927952528,,
6,399,,0.10083197802305222,,,
6,433,,,,0.16794776916503906,0.16794776916503906
6,433,,,0.18557782471179962,,
7,449,,0.08516279608011246,,,
7,495,,,,0.1652480959892273,0.1652480959892273
7,495,,,0.1865069717168808,,
8,499,,0.5765498876571655,,,
8,549,,0.1455565094947815,,,
8,557,,,,0.1567034274339676,0.1567034274339676
8,557,,,0.18351544439792633,,
9,599,,0.20708538591861725,,,
9,619,,,,0.15767107903957367,0.15767107903957367
9,619,,,0.1775999665260315,,
10,620,,,,0.16524823009967804,0.16524823009967804
10,620,,,,0.15767107903957367,0.15767107903957367
10,620,0.18151788413524628,,,,
